That was really a nightmare !  __sou__ Honey , what's up ?
I ’ m so sorry to call you on such short notice , but something ’ s come up . __eou__ You mean for this afternoon ’ s meeting ?  __sou__ That ’ s right I ’ m afraid I have to postpone it . Mr . Scott got sick and I have to attend the Speechmaker ’ s Symposium in his place . I ’ m leaving today , and I won ’ t be back until a week from Friday .
Can I ask you what the office rules are ? __eou__ Yes , do you know the nine to five timetable ? __eou__ Is it from 9:00 to 12:00 in the morning and 1:00 to 5:00 in the afternoon ?  __sou__ Yes , you are right .
You heard who won the election , right ?  __sou__ Who was elected ?
Have you heard about the robbery ? __eou__ I saw the whole thing happen . __eou__ For real ? __eou__ I was in the bank during the robbery . __eou__ What went down ? __eou__ Some dude came into the bank with a gun . __eou__ Are you serious ? __eou__ When he pulled out the gun , I got so scared .  __sou__ Tell me what else happened .
Have you seen the news today ? __eou__ Not yet . What happened ? __eou__ Did you know there was a blackout last night ? __eou__ Yes , I heard the lights were out all night . __eou__ Well , some people decided to loot last night . __eou__ I don't understand . __eou__ They took advantage of the blackout . __eou__ They really started looting ? __eou__ Yes , apparently four stores were broken into .  __sou__ Did the looters get caught ?
Hi ! What are you watching ? __eou__ It ’ s a programme about islam . It ’ s very interesting .  __sou__ Wow ! So many people ! Where are they and what are they doing ?
I can ’ t believe Obama is our President . __eou__ I am proud to know that he is our President . __eou__ You voted for him , right ? __eou__ Did you vote for him , because I know that I did . __eou__ I did , too . __eou__ I have nothing but faith in Obama .  __sou__ Really ?
Hello . Is everything OK , there ? __eou__ I'm having a little trouble with this form . __eou__ What seems to be the problem ? __eou__ There are two types of L / C here and I'm not sure which one I want . __eou__ That's right , there's ' revocable ' and ' irrevocable ' . We usually go for the irrevocable one , it's the most popular .  __sou__ So , I should choose that one ?
I need to open an account . __eou__ Do you know what kind you want to open ? __eou__ I want a checking account . __eou__ Do you know what the minimum balance is ?  __sou__ What is that ?
Good morning , may I help you ? __eou__ Good morning . I want to remit 1,000 yuan to my sister in Shanghai . __eou__ Please fill out this form . __eou__ OK ... Do I need to put on my sister's name for the receiver ? __eou__ Yes . You must put on her name and address . __eou__ OK , I see . Here you are . Is that OK now ? __eou__ Let me check . Yes . Your 1,000 remittance , please . __eou__ Here you are . What is the rate ?  __sou__ This rate is one percent . That will be 10 yuan .
I understand we will need seven air conditioning units on the two floors.That ' s what you think , yes ? __eou__ Yes . You could use five or six units.But five or six wouldn't be very efficient . I recommend seven . __eou__ And if we take the Decker units you suggested , what would the price be ? __eou__ Let me calculate the price for you . I can give you a 15 % discount if you buy the seven units.Let ' s see here . Your total would be 5929 dollars . __eou__ Isn't there any way we can get central air conditioning in this building ? __eou__ As I said , it is possible , but it would be much more expensive . I think it would be at least 12000 dollars to do a complete system . __eou__ That's too much . We need to use the separate units , I guess . __eou__ It's more practical , and the new units really are very quiet.Your customers won't even notice them . __eou__ So you say we can do it for 6000 dollars . __eou__ Yes , that's for the units.Installation would probably be another 700 to 1000 dollars.But it depends on the time spent , of course . __eou__ You mean installation isn't included ? I'm very surprised . __eou__ No , Ma'am . Installation isn't included.The price I quoted was just for the units . __eou__ In Taipei , you know , the company usually installs the things they sell.They don't charge extra .  __sou__ I know that , Ma'am . But they would just raise the price of the units to cover their costs.Here in L . A . , installation is charged separately .
Good morning , miss . __eou__ Good morning , sir . __eou__ Could you tell me please where can I find a currents exchange ? __eou__ Right here , how can i help you today , sir ? __eou__ I'd like to exchange 5000 Singapore dollars into the US dollars please . __eou__ Do you have an account this bank , sir ? __eou__ Yes , here is my account number . __eou__ May i please see ID ?  __sou__ Sure , here is my passport , by the way what is the rate today ?
